Knife_ID,Linie_Angle,Actual_Class,CART_Prediction,C45_Prediction,CART_Correct,C45_Correct
Koch-A0-T0-08_cropped_Messpunkt,0,1,1,1,True,True
Koch-A0-T0-08_cropped_Messpunkt,1,1,1,1,True,True
Koch-A0-T0-08_cropped_Messpunkt,2,1,1,1,True,True
Koch-A0-T0-08_cropped_Messpunkt,3,1,1,1,True,True
Koch-A0-T0-08_cropped_Messpunkt,6,1,1,1,True,True
Koch-A0-T0-08_cropped_Messpunkt,8,1,1,1,True,True
Koch-A0-T0-08_cropped_Messpunkt,9,1,1,1,True,True
Koch-A0-T0-11_cropped_Messpunkt,0,1,1,1,True,True
Koch-A0-T0-11_cropped_Messpunkt,3,1,1,1,True,True
Koch-A0-T0-11_cropped_Messpunkt,4,1,1,1,True,True
Koch-A0-T0-11_cropped_Messpunkt,7,1,1,1,True,True
Koch-A0-T0-11_cropped_Messpunkt,8,1,1,1,True,True
Koch-A0-T0-12_cropped_Messpunkt,2,1,1,1,True,True
Koch-A0-T0-12_cropped_Messpunkt,9,1,1,1,True,True
Koch-A0-T0-16_cropped_Messpunkt,2,1,1,1,True,True
Koch-A0-T0-16_cropped_Messpunkt,5,1,1,1,True,True
Koch-A0-T0-16_cropped_Messpunkt,9,1,1,1,True,True
Koch-A0-T0-17_cropped_Messpunkt,3,1,1,1,True,True
Koch-A0-T0-17_cropped_Messpunkt,5,1,1,1,True,True
Koch-A0-T0-17_cropped_Messpunkt,7,1,1,1,True,True
Koch-A0-T0-19_cropped_Messpunkt,0,1,1,1,True,True
Koch-A0-T0-19_cropped_Messpunkt,1,1,1,1,True,True
Koch-A0-T0-19_cropped_Messpunkt,2,1,1,1,True,True
Koch-A0-T0-19_cropped_Messpunkt,6,1,1,1,True,True
Koch-A0-T0-19_cropped_Messpunkt,9,1,1,1,True,True
Koch-A1-T1-02_cropped_Messpunkt,3,1,1,1,True,True
Koch-A1-T1-02_cropped_Messpunkt,6,1,1,1,True,True
Koch-A1-T1-02_cropped_Messpunkt,7,1,1,1,True,True
Koch-A1-T1-02_cropped_Messpunkt,8,1,1,1,True,True
Koch-A1-T1-02_cropped_Messpunkt,9,1,1,1,True,True
Koch-A1-T1-03_cropped_Messpunkt,5,1,1,1,True,True
Koch-A1-T1-03_cropped_Messpunkt,6,1,1,1,True,True
Koch-A1-T1-03_cropped_Messpunkt,7,1,1,1,True,True
Koch-A1-T1-03_cropped_Messpunkt,8,1,1,1,True,True
Koch-A1-T1-03_cropped_Messpunkt,9,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,0,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,2,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,3,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,4,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,5,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,7,1,1,1,True,True
Koch-A1-T1-06_cropped_Messpunkt,9,1,1,1,True,True
Koch-A10-T10-14_cropped_Messpunkt,4,1,1,1,True,True
Koch-A10-T10-14_cropped_Messpunkt,8,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,2,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,3,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,4,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,6,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,7,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,8,1,1,1,True,True
Koch-A10-T10-18_cropped_Messpunkt,9,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,1,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,2,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,3,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,4,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,5,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,6,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,7,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,8,1,1,1,True,True
Koch-A10-T10-20_cropped_Messpunkt,9,1,1,1,True,True
Koch-A12-T12-01_cropped_Messpunkt,3,2,2,2,True,True
Koch-A12-T12-01_cropped_Messpunkt,4,2,2,2,True,True
Koch-A12-T12-01_cropped_Messpunkt,7,2,2,2,True,True
Koch-A12-T12-06_cropped_Messpunkt,3,2,2,2,True,True
Koch-A12-T12-06_cropped_Messpunkt,4,2,2,2,True,True
Koch-A12-T12-06_cropped_Messpunkt,8,2,2,2,True,True
Koch-A12-T12-08_cropped_Messpunkt,0,2,2,2,True,True
Koch-A12-T12-08_cropped_Messpunkt,6,2,2,2,True,True
Koch-A12-T12-08_cropped_Messpunkt,7,2,2,2,True,True
Koch-A12-T12-08_cropped_Messpunkt,8,2,2,2,True,True
Koch-A12-T12-08_cropped_Messpunkt,9,2,2,2,True,True
Koch-A12-T12-11_cropped_Messpunkt,3,1,1,1,True,True
Koch-A12-T12-11_cropped_Messpunkt,4,1,1,1,True,True
Koch-A12-T12-11_cropped_Messpunkt,5,1,1,1,True,True
Koch-A12-T12-11_cropped_Messpunkt,6,1,1,1,True,True
Koch-A12-T12-11_cropped_Messpunkt,7,1,1,1,True,True
Koch-A12-T12-11_cropped_Messpunkt,8,1,1,1,True,True
Koch-A12-T12-15_cropped_Messpunkt,0,2,2,2,True,True
Koch-A12-T12-15_cropped_Messpunkt,1,2,2,2,True,True
Koch-A12-T12-15_cropped_Messpunkt,2,2,2,2,True,True
Koch-A12-T12-15_cropped_Messpunkt,3,2,2,2,True,True
Koch-A12-T12-15_cropped_Messpunkt,9,2,2,2,True,True
Koch-A13-T13-03_cropped_Messpunkt,0,2,2,2,True,True
Koch-A13-T13-03_cropped_Messpunkt,1,2,2,2,True,True
Koch-A13-T13-03_cropped_Messpunkt,3,2,2,2,True,True
Koch-A13-T13-03_cropped_Messpunkt,6,2,2,2,True,True
Koch-A13-T13-16_cropped_Messpunkt,0,1,1,1,True,True
Koch-A13-T13-16_cropped_Messpunkt,1,1,1,1,True,True
Koch-A13-T13-16_cropped_Messpunkt,8,1,1,1,True,True
Koch-A13-T13-16_cropped_Messpunkt,9,1,1,1,True,True
Koch-A14-T14-03_cropped_Messpunkt,5,2,2,2,True,True
Koch-A14-T14-03_cropped_Messpunkt,6,2,2,2,True,True
Koch-A14-T14-03_cropped_Messpunkt,7,2,2,2,True,True
Koch-A14-T14-04_cropped_Messpunkt,3,1,1,1,True,True
Koch-A14-T14-04_cropped_Messpunkt,4,1,1,1,True,True
Koch-A14-T14-04_cropped_Messpunkt,5,1,1,1,True,True
Koch-A14-T14-04_cropped_Messpunkt,6,1,1,1,True,True
Koch-A14-T14-11_cropped_Messpunkt,2,2,2,2,True,True
Koch-A14-T14-11_cropped_Messpunkt,6,2,2,2,True,True
Koch-A14-T14-11_cropped_Messpunkt,7,2,2,2,True,True
Koch-A14-T14-11_cropped_Messpunkt,8,2,2,2,True,True
Koch-A14-T14-11_cropped_Messpunkt,9,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,0,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,2,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,3,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,4,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,5,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,6,2,2,2,True,True
Koch-A14-T14-15_cropped_Messpunkt,9,2,2,2,True,True
Koch-A14-T14-18_cropped_Messpunkt,5,0,0,0,True,True
Koch-A14-T14-18_cropped_Messpunkt,6,0,0,0,True,True
