Linie_Angle,Error_Count,Percentage_of_Total_Shared_Errors
0,53,9.27
1,46,8.04
2,48,8.39
3,48,8.39
4,61,10.66
5,55,9.62
6,61,10.66
7,68,11.89
8,72,12.59
9,60,10.49
