Linie_Angle,Error_Count,Percentage_of_Total_Shared_Errors
0,47,8.74
1,45,8.36
2,54,10.04
3,48,8.92
4,56,10.41
5,60,11.15
6,53,9.85
7,62,11.52
8,58,10.78
9,55,10.22
