0
Ra_ganz
Rq_ganz
Rz_ganz
Rt_ganz
Ra_Messlinienlange
Rq_Messlinienlange
Rz_Messlinienlange
Rt_Messlinienlange
Ra_ohneRand
Rq_ohneRand
Rz_ohneRand
Rt_ohneRand
Original_Linienanzahl
Original_MW_Linienbreite
Original_ST_Linienbreite
Original_Max
Original_Min
Original_Bereich
Sobel_Linienanzahl
Sobel_MW_Linienbreite
Sobel_ST_Linienbreite
Sobel_Max
Sobel_Min
Sobel_Bereich
Sobel_kont_Linienanzahl
Sobel_kont_MW_Linienbreite
Sobel_kont_ST_Linienbreite
Sobel_kont_Max
Sobel_kont_Min
Sobel_kont_Bereich
DFT_Median_Linienanzahl
DFT_Median_MW_Linienbreite
DFT_Median_ST_Linienbreite
DFT_Median_Max
DFT_Median_Min
DFT_Median_Bereich
DFT_Median_sobel_Linienanzahl
DFT_Median_sobel_MW_Linienbreite
DFT_Median_sobel_ST_Linienbreite
DFT_Median_sobel_Max
DFT_Median_sobel_Min
DFT_Median_sobel_Bereich
