Knife_ID,True_Class,True_Ra,Total_Test_Appearances,Correct_Predictions,Accuracy_Rate
knife_test_1388,0,0.12,3,3,1.0
knife_test_139,1,0.16,3,3,1.0
knife_test_1392,0,0.1,3,1,0.3333333333333333
knife_test_1394,0,0.1,3,3,1.0
knife_test_1397,0,0.1,3,3,1.0
knife_test_1399,0,0.1,2,2,1.0
knife_test_1402,0,0.11,2,2,1.0
knife_test_1409,0,0.11,1,1,1.0
knife_test_141,1,0.19,1,0,0.0
knife_test_1412,0,0.1,2,2,1.0
knife_test_1414,0,0.1,3,3,1.0
knife_test_1415,0,0.1,2,2,1.0
knife_test_1421,0,0.12,2,1,0.5
knife_test_1422,0,0.12,3,3,1.0
knife_test_1428,0,0.12,3,3,1.0
knife_test_1429,0,0.12,3,3,1.0
knife_test_143,1,0.19,2,0,0.0
knife_test_1431,0,0.11,3,3,1.0
knife_test_1434,0,0.11,2,1,0.5
knife_test_1435,0,0.11,3,2,0.6666666666666666
knife_test_1442,0,0.11,1,1,1.0
knife_test_1443,0,0.11,2,2,1.0
knife_test_1448,0,0.11,1,1,1.0
knife_test_1453,0,0.11,1,1,1.0
knife_test_1454,0,0.11,2,2,1.0
knife_test_1455,0,0.11,3,3,1.0
knife_test_1456,0,0.11,3,3,1.0
knife_test_1458,0,0.11,1,1,1.0
knife_test_1460,0,0.11,1,1,1.0
knife_test_1465,0,0.11,1,1,1.0
knife_test_1468,0,0.11,2,2,1.0
knife_test_1472,0,0.08,3,3,1.0
knife_test_1473,0,0.08,3,3,1.0
knife_test_1474,0,0.08,1,1,1.0
knife_test_1475,0,0.08,3,3,1.0
knife_test_1477,0,0.08,2,2,1.0
knife_test_148,1,0.19,1,1,1.0
knife_test_1482,0,0.1,1,1,1.0
knife_test_1487,0,0.1,1,1,1.0
knife_test_1488,0,0.1,2,2,1.0
knife_test_1491,0,0.1,1,1,1.0
knife_test_1495,0,0.1,1,1,1.0
knife_test_1497,0,0.1,3,3,1.0
knife_test_1498,0,0.1,2,2,1.0
knife_test_15,1,0.15,1,1,1.0
knife_test_1502,1,0.14,1,0,0.0
knife_test_1505,1,0.14,3,1,0.3333333333333333
knife_test_1506,1,0.14,3,1,0.3333333333333333
knife_test_1515,0,0.11,2,2,1.0
knife_test_1520,1,0.13,3,1,0.3333333333333333
knife_test_1521,1,0.13,2,1,0.5
knife_test_1529,1,0.13,1,1,1.0
knife_test_153,1,0.16,1,1,1.0
knife_test_1534,1,0.14,3,0,0.0
knife_test_1536,1,0.14,2,0,0.0
knife_test_1537,1,0.14,2,1,0.5
knife_test_154,1,0.16,2,2,1.0
knife_test_1542,1,0.13,2,1,0.5
knife_test_1547,1,0.13,3,0,0.0
knife_test_1548,1,0.13,3,0,0.0
knife_test_155,1,0.16,2,2,1.0
knife_test_1553,1,0.14,2,0,0.0
knife_test_1554,1,0.14,2,0,0.0
knife_test_1556,1,0.14,3,0,0.0
knife_test_1557,1,0.14,3,0,0.0
knife_test_1564,0,0.11,2,2,1.0
knife_test_1565,0,0.11,1,0,0.0
knife_test_1567,0,0.11,3,2,0.6666666666666666
knife_test_1570,1,0.13,3,1,0.3333333333333333
knife_test_1571,1,0.13,3,0,0.0
knife_test_1576,1,0.13,1,1,1.0
knife_test_1577,1,0.13,2,0,0.0
knife_test_1580,1,0.14,2,2,1.0
knife_test_1582,1,0.14,3,0,0.0
knife_test_1583,1,0.14,3,3,1.0
knife_test_1584,1,0.14,3,0,0.0
knife_test_1587,1,0.14,2,0,0.0
knife_test_16,1,0.15,3,2,0.6666666666666666
knife_test_1600,0,0.12,1,0,0.0
knife_test_1602,0,0.12,1,1,1.0
knife_test_1607,0,0.12,3,2,0.6666666666666666
knife_test_1608,0,0.12,1,1,1.0
knife_test_1609,0,0.12,3,3,1.0
knife_test_1614,1,0.13,1,0,0.0
knife_test_1621,1,0.19,1,0,0.0
knife_test_1622,1,0.19,1,0,0.0
knife_test_1623,1,0.19,1,0,0.0
knife_test_1628,1,0.19,2,2,1.0
knife_test_1632,0,0.12,2,0,0.0
knife_test_1634,0,0.12,2,1,0.5
knife_test_1645,0,0.1,1,1,1.0
knife_test_1652,0,0.12,2,2,1.0
knife_test_1654,0,0.12,1,1,1.0
knife_test_1658,0,0.12,3,2,0.6666666666666666
knife_test_1660,1,0.13,2,0,0.0
knife_test_1665,1,0.13,3,0,0.0
knife_test_1666,1,0.13,3,0,0.0
knife_test_1668,1,0.13,1,0,0.0
knife_test_1678,0,0.11,3,3,1.0
knife_test_1679,0,0.11,1,1,1.0
knife_test_1686,1,0.13,2,0,0.0
knife_test_1704,1,0.13,1,0,0.0
knife_test_1705,1,0.13,1,0,0.0
knife_test_1707,1,0.13,3,0,0.0
knife_test_1709,1,0.13,3,0,0.0
knife_test_172,1,0.19,2,0,0.0
knife_test_178,1,0.19,1,0,0.0
knife_test_181,1,0.17,1,1,1.0
knife_test_186,1,0.17,2,2,1.0
knife_test_187,1,0.17,2,2,1.0
knife_test_188,1,0.17,3,2,0.6666666666666666
knife_test_189,1,0.17,3,2,0.6666666666666666
knife_test_195,2,0.24,1,0,0.0
knife_test_197,2,0.24,1,1,1.0
knife_test_199,2,0.24,2,2,1.0
knife_test_205,2,0.28,2,1,0.5
knife_test_207,2,0.28,2,2,1.0
knife_test_21,1,0.15,3,3,1.0
knife_test_211,1,0.21,1,1,1.0
knife_test_215,1,0.21,1,0,0.0
knife_test_22,1,0.15,2,2,1.0
knife_test_229,2,0.22,2,2,1.0
knife_test_232,2,0.26,3,3,1.0
knife_test_235,2,0.26,1,1,1.0
knife_test_24,1,0.15,3,2,0.6666666666666666
knife_test_241,2,0.36,2,2,1.0
knife_test_245,2,0.36,2,2,1.0
knife_test_246,2,0.36,3,3,1.0
knife_test_250,2,0.33,2,0,0.0
knife_test_252,2,0.33,1,0,0.0
knife_test_254,2,0.33,2,2,1.0
knife_test_257,2,0.33,2,2,1.0
knife_test_26,1,0.15,3,3,1.0
knife_test_261,2,0.25,1,1,1.0
knife_test_262,2,0.25,1,1,1.0
knife_test_27,1,0.15,1,1,1.0
knife_test_272,2,0.28,1,1,1.0
knife_test_275,2,0.28,1,1,1.0
knife_test_276,2,0.28,2,2,1.0
knife_test_281,2,0.24,3,3,1.0
knife_test_283,2,0.24,3,3,1.0
knife_test_284,2,0.24,3,3,1.0
knife_test_290,2,0.28,3,2,0.6666666666666666
knife_test_293,2,0.28,2,2,1.0
knife_test_296,2,0.28,2,0,0.0
knife_test_297,2,0.28,2,0,0.0
knife_test_298,2,0.28,3,2,0.6666666666666666
knife_test_302,2,0.28,1,0,0.0
knife_test_305,2,0.28,1,1,1.0
knife_test_306,2,0.28,2,0,0.0
knife_test_307,2,0.28,2,1,0.5
knife_test_312,1,0.15,2,1,0.5
knife_test_316,1,0.15,3,0,0.0
knife_test_324,2,0.33,2,1,0.5
knife_test_327,2,0.33,2,2,1.0
knife_test_335,0,0.12,3,0,0.0
knife_test_336,0,0.12,2,1,0.5
knife_test_338,0,0.12,1,0,0.0
knife_test_340,1,0.13,1,0,0.0
knife_test_342,1,0.13,2,2,1.0
knife_test_347,1,0.13,2,2,1.0
knife_test_349,1,0.13,2,2,1.0
knife_test_353,0,0.12,3,0,0.0
knife_test_358,0,0.12,1,0,0.0
knife_test_359,0,0.12,1,0,0.0
knife_test_36,1,0.14,1,1,1.0
knife_test_360,1,0.13,1,0,0.0
knife_test_363,1,0.13,2,0,0.0
knife_test_369,1,0.13,1,0,0.0
knife_test_372,0,0.12,2,2,1.0
knife_test_376,0,0.12,3,3,1.0
knife_test_380,0,0.11,3,3,1.0
knife_test_382,0,0.11,3,2,0.6666666666666666
knife_test_39,1,0.14,1,1,1.0
knife_test_390,1,0.13,2,0,0.0
knife_test_392,1,0.13,2,0,0.0
knife_test_397,1,0.13,2,0,0.0
knife_test_399,1,0.13,2,0,0.0
knife_test_401,0,0.09,2,2,1.0
knife_test_404,0,0.09,3,2,0.6666666666666666
knife_test_409,0,0.09,2,2,1.0
knife_test_41,1,0.14,3,1,0.3333333333333333
knife_test_410,1,0.13,1,0,0.0
knife_test_411,1,0.13,2,0,0.0
knife_test_417,1,0.13,2,0,0.0
knife_test_42,1,0.14,1,0,0.0
knife_test_420,1,0.13,3,2,0.6666666666666666
knife_test_423,1,0.13,1,1,1.0
knife_test_43,1,0.14,1,0,0.0
knife_test_434,0,0.1,1,1,1.0
