Linie_Angle,Error_Count,Percentage_of_Total_Shared_Errors
0,17,10.62
1,20,12.5
2,16,10.0
3,21,13.12
4,13,8.12
5,14,8.75
6,14,8.75
7,12,7.5
8,19,11.88
9,14,8.75
