Linie_Angle,Error_Count,Percentage_of_Total_Shared_Errors
0,18,12.41
1,15,10.34
2,13,8.97
3,20,13.79
4,17,11.72
5,14,9.66
6,12,8.28
7,10,6.9
8,15,10.34
9,11,7.59
