Linie_Angle,Error_Count,Percentage_of_Total_Shared_Errors
0,40,10.93
1,40,10.93
2,36,9.84
3,30,8.2
4,37,10.11
5,37,10.11
6,36,9.84
7,40,10.93
8,33,9.02
9,37,10.11
